name,artist,release_date,length,popularity
back to the moon,Gunna,2023-06-16,193333,80
LUNA,Peso Pluma,2023-06-22,163551,83
Outskirts,Sam Hunt,2023-03-10,182706,78
Di Que Si,Grupo Marca Registrada,2023-02-03,190553,85
Like Crazy (English Version),Jimin,2023-03-24,212253,87
What My World Spins Around,Jordan Davis,2023-02-17,186800,78
El Merengue,Marshmello,2023-03-03,189668,92
EL HECHIZO,Ovy On The Drums,2023-03-09,167988,85
Cupid,FIFTY FIFTY,2023-02-24,174253,88
Cupid – Twin Ver. (FIFTY FIFTY) – Sped Up Version,sped up 8282,2023-04-08,145200,87
Fell In Love,Marshmello,2023-05-05,121283,80
We Ride,Bryan Martin,2023-03-31,188482,78
Need A Favor,Jelly Roll,2023-06-02,197400,78
HAPPY,NF,2023-04-07,242691,82
Sobran Motivos,Conjunto Rienda Real,2023-02-10,185338,82
Strike (Holster),Lil Yachty,2023-04-07,148115,80
Los del Espacio,LIT killah,2023-06-01,338000,93
Pelle Coat,Lil Durk,2023-05-26,253738,78
"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long)",Fast & Furious: The Fast Saga,2023-05-18,175802,85
If We Ever Broke Up,Mae Stephens,2023-02-10,142758,88
From The Start,Laufey,2023-05-11,169573,82
Call Your Mom,Noah Kahan,2023-06-09,278670,78
Put It On Da Floor Again (feat. Cardi B),Latto,2023-06-02,185748,78
Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,Metro Boomin,2023-06-02,162280,83
Miracle (with Ellie Goulding),Calvin Harris,2023-03-10,186496,93
Eyes Closed,Ed Sheeran,2023-03-24,194848,89
They Don't Love It,Jack Harlow,2023-04-28,113292,82
Oh U Went (feat. Drake),Young Thug,2023-06-23,185333,79
Mas Rica Que Ayer,Anuel AA,2023-03-02,199148,88
Next Thing You Know,Jordan Davis,2023-02-17,175226,78
VVS,Peso Pluma,2023-06-22,162676,80
My wrist (with Young Thug),Yeat,2023-05-26,190133,79
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM,2023-05-01,182148,89
In This Darkness,Clara La San,2023-01-29,197000,80
No Complaints,Noah Kahan,2023-06-09,205432,77
Not Strong Enough,boygenius,2023-03-31,234933,79
Let The Light In (feat. Father John Misty),Lana Del Rey,2023-03-24,278126,81
Covardia,Wesley Safadão,2023-03-30,150863,86
bread & butter,Gunna,2023-06-02,226360,80
Grandson (feat. Kodak Black),Lil Durk,2023-05-26,140800,76
Looking for You,Chris Young,2023-01-13,179973,76
Jericho,Iniko,2023-04-15,158133,84
Who Told You (feat. Drake),J Hus,2023-06-08,208917,88
Little Girl Gone,CHINCHILLA,2023-04-21,188596,81
DOGTOOTH,"Tyler, The Creator",2023-03-31,161041,79
Eat Your Young,Hozier,2023-03-17,242293,76
I'm Geekin,DDG,2023-04-21,101946,78
GOOD LOYAL THOTS,Odetari,2023-03-15,102556,81
I AM,IVE,2023-04-10,183853,89
アイドル,YOASOBI,2023-04-12,213233,91
Whiskey Friends,Morgan Wallen,2023-03-03,205579,76
DOGTOOTH,"Tyler, The Creator",2023-03-27,161041,78
Acróstico,Shakira,2023-05-11,170785,92
Pretty Little Poison,Warren Zeiders,2023-03-17,218160,76
rodeo dr,Gunna,2023-06-16,176946,77
PROVENZA,KAROL G,2023-02-24,207626,86
"To Summer, From Cole - Audio Hug",Summer Walker,2023-05-19,147666,79
Pacas De Billetes,Natanael Cano,2023-05-01,188074,86
Out Of That Truck,Carrie Underwood,2023-03-10,177400,76
"Nonviolent Communication (Metro Boomin & James Blake, A$AP Rocky, 21 Savage)",Metro Boomin,2023-06-02,209533,82
"Eve, Psyche & The Bluebeard’s wife",LE SSERAFIM,2023-05-01,185538,85
Love You Anyway,Luke Combs,2023-02-10,229626,77
Quedate Conmigo,Eslabon Armado,2023-04-28,160752,80
Glue Song,beabadoobee,2023-02-14,135066,81
Waffle House,Jonas Brothers,2023-04-07,145440,82
Neon Star (Country Boy Lullaby),Morgan Wallen,2023-03-03,171495,75
Paul Revere,Noah Kahan,2023-06-09,213313,76
Love Again,The Kid LAROI,2023-01-27,146640,83
06 Gucci (feat. DaBaby & 21 Savage),Gucci Mane,2023-03-31,178950,77
I Deserve A Drink,Morgan Wallen,2023-03-03,206137,76
FLOWER,JISOO,2023-03-31,173134,85
77,Peso Pluma,2023-05-05,215745,84
SLUT ME OUT,NLE Choppa,2023-04-14,123672,78
Haegeum,Agust D,2023-04-21,168926,89
Go (Xtayalive 2),Kanii,2023-04-28,106307,80
Cool About It,boygenius,2023-03-31,180000,79
Giving Up On That,Dalton Dover,2023-02-17,211533,75
RUBICON,Peso Pluma,2023-06-22,238447,77
Me Enteré,Tiago PZK,2023-05-18,182075,87
Yandel 150,Yandel,2023-01-13,216148,90
Peaches & Eggplants (feat. 21 Savage),Young Nudy,2023-02-28,203813,76
Niña Bonita,Feid,2023-04-21,187653,90
X SI VOLVEMOS,KAROL G,2023-02-24,200120,86
Padam Padam,Kylie Minogue,2023-05-18,166266,83
CARNAL,Peso Pluma,2023-06-22,174522,77
Super,SEVENTEEN,2023-04-24,200386,88
69,Nicky Jam,2023-05-19,221935,87
Bitch Let's Do It,YoungBoy Never Broke Again,2023-05-12,185117,76
I Wish you Roses,Kali Uchis,2023-03-03,219954,78
Bury Me in Georgia - Single Edit,Kane Brown,2023-03-31,170682,75
Angels (Don’t Always Have Wings),Thomas Rhett,2023-01-20,200426,75
Born With A Beer In My Hand,Morgan Wallen,2023-03-03,188523,75
"Your Needs, My Needs",Noah Kahan,2023-06-09,207880,76
Shorty Party,Cartel De Santa,2023-03-04,265000,88
back at it,Gunna,2023-06-16,186173,76
ca$h $hit,Gunna,2023-06-16,131493,77
Hot Boy (feat. Lil Baby),Nardo Wick,2023-03-31,169893,76
Trouble,Josh Ross,2023-01-04,214798,75
Die For You (with Ariana Grande) - Remix,The Weeknd,2023-03-14,232857,88
Ocean Spray,Moneybagg Yo,2023-06-02,164776,76
Heart Racing,Kanii,2023-05-19,156106,78
GAVILÁN II,Peso Pluma,2023-06-22,225480,75
ZAPATA,Peso Pluma,2023-06-22,177652,75
Where You Are,John Summit,2023-03-03,236000,80
Summer Baby,Jonas Brothers,2023-05-12,161811,80
NUEVA VIDA,Peso Pluma,2023-06-22,190680,75
LOKERA,Rauw Alejandro,2023-01-24,197101,83
Parade on Cleveland (feat. Drake),Young Thug,2023-06-23,228266,77
Qué Onda Perdida,Grupo Firme,2023-03-30,239637,85
Set Me Free Pt.2,Jimin,2023-03-17,200929,85
LAGUNAS,Peso Pluma,2023-06-22,231246,76
SU CASA,Peso Pluma,2023-06-22,138559,75
Burn It Down,Parker McCollum,2023-05-12,233869,74
GEEKALEEK (feat. Cash Kidd),OHGEESY,2023-02-03,146285,75
Life Goes On (feat. Luke Combs),Ed Sheeran,2023-05-03,210208,79
drive ME crazy!,Lil Yachty,2023-01-27,229804,77
Die For You,Various Artists,2023-06-20,260255,7
Is There Someone Else?,Various Artists,2023-06-23,199111,4
Double Fantasy,Various Artists,2023-06-23,268235,1
Blinding Lights,Various Artists,2023-06-23,201573,3
I Feel It Coming,Various Artists,2023-06-23,269176,1
Can't Feel My Face,Various Artists,2023-06-23,213520,7
Double Fantasy,Various Artists,2023-06-23,268235,0
Less Than Zero,Various Artists,2023-06-23,211814,5
Can't Feel My Face,Various Artists,2023-06-23,213520,1
Faith,Various Artists,2023-06-23,283216,3
I Feel It Coming,Various Artists,2023-06-23,269186,2
Die For You,Various Artists,2023-06-23,260255,2
Out of Time,Various Artists,2023-06-23,214190,3
I Was Never There,Various Artists,2023-06-23,241066,4
Sacrifice,Various Artists,2023-06-23,188918,2
