name,artist,release_date,length,popularity
I’m Good (Blue),Various Artists,2023-06-23,175238,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
Gettin' over You,Various Artists,2023-06-23,188000,0
Titanium,Various Artists,2023-06-23,245040,0
Crazy What Love Can Do,Various Artists,2023-06-23,169756,0
Crazy What Love Can Do,Various Artists,2023-06-23,169756,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
Memories,Various Artists,2023-06-23,210093,1
Crazy What Love Can Do,Various Artists,2023-06-23,169756,0
I’m Good (Blue),Various Artists,2023-06-16,175238,0
Sexy Bitch,Various Artists,2023-06-23,195853,1
Play Hard,Various Artists,2023-06-23,201000,1
I’m Good (Blue),Various Artists,2023-06-23,175238,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
I’m Good (Blue),Various Artists,2023-06-23,175238,0
Crazy What Love Can Do,Various Artists,2023-06-23,169756,0
Drop Stop Roll,Rainbow Kitten Surprise,2023-04-10,170788,69
Euclid,Sleep Token,2023-05-19,313361,71
I Like You (A Happier Song),Various Artists,2023-06-23,192840,2
"Won’t Back Down (feat. YoungBoy Never Broke Again, Dermot Kennedy & Bailey Zimmerman)",Fast & Furious: The Fast Saga,2023-05-04,163257,75
Orphans - Muzi Remix,Various Artists,2023-06-26,221160,0
The Scientist,Various Artists,2023-06-26,309600,0
Everglow,Various Artists,2023-06-26,282693,0
The View Between Villages,Noah Kahan,2023-06-09,215341,69
We Go Down Together (with Khalid),Dove Cameron,2023-02-10,184963,75
I Wrote The Book,Morgan Wallen,2023-01-31,181766,68
"Diablo, Qué Chimba",Maluma,2023-03-23,232222,77
DEJAU',Rauw Alejandro,2023-01-24,182836,76
I Know - PR1SVX Edit Sped Up,Kanii,2023-03-24,124015,75
While You're At It,Jessie Murph,2023-02-10,127293,71
Fantasy (with GAYLE & Em Beihold),Lauren Spencer Smith,2023-04-14,175090,73
Viva La Vida,Various Artists,2023-06-23,242373,8
Talk,Various Artists,2023-06-23,265586,2
Fix You,Various Artists,2023-06-23,295533,0
Oceans,Various Artists,2023-06-23,321680,2
Higher Power,Various Artists,2023-06-23,211294,1
Us Against the World,Various Artists,2023-06-23,239767,1
Fix You,Various Artists,2023-06-23,295533,0
Paradise,Various Artists,2023-06-23,278719,1
Hymn for the Weekend,Various Artists,2023-06-23,258265,0
Yellow,Various Artists,2023-06-23,266773,0
A Sky Full of Stars,Various Artists,2023-06-23,267866,0
Hymn for the Weekend,Various Artists,2023-06-23,258265,0
X&Y,Various Artists,2023-06-26,274175,0
Viva La Vida,Various Artists,2023-06-23,242373,0
Yellow,Various Artists,2023-06-23,266773,0
What If,Various Artists,2023-06-26,298519,0
The Scientist,Various Artists,2023-06-23,309600,0
Everglow,Various Artists,2023-06-16,227506,0
